Trek Name,Region,Difficulty,Duration,Distance,Altitude,Best Time,Description
Aane Gudda Trek Elephant Hill Trek,Uttarakhand,trek,10-11 hr,5 km,"6,560 ft",to do the Aane Gudda Trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Aane Gudda Trek</title><meta name=""description"" content=""Maps, pictures, GPS Coordinates, GPX file, trail and route information - the only guide you&#x27;ll ever need to plan a trek to Aane Gudda!""/><meta property=""og:title"" content=""Aane Gudda Trek""/><meta property=""og:description"" content=""Maps, pictures, GPS Coordinates, GPX file, trail and route information - the only guide you&#x27;l"
Ahupe Ghat Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Ahupe Ghat Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Ahupe Ghat Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/6ed4b2bf-4453-4e9a-ad52-c1c334fe30ec_Ahupe+Ghat+Trek-Banner+Image-Indiahikes-Indiahikes+Archive.jpg?auto=compress,format""/><meta property=""og:imag"
Ajan Top,Uttarakhand,Easy,10-11 hr,190 km,"8,399 ft",this is all lush green and small flowers bloom in the meadow,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Ajan Top</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Ajan Top""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/69c8e532-dc01-431e-a66c-852140f7233a_Ajan-top-mountain-range-Indiahikes-Samkit-Jain.jpg?auto=compress,format""/><meta property=""og:image:width"" content=""300""/><m"
Alang Madan Kulang Trek,Uttarakhand,skills,10-11 hr,190 km,"6,560 ft",to do Alang Madan Kulang Trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Alang Madan Kulang - The Most Difficult Trek in Maharashtra</title><meta name=""description"" content=""With Trail Information, Itinerary, GPX, Map and Photos, this is the only guide you will ever need to plan your trek to Alang Madan Kulang.""/><meta property=""og:title"" content=""Alang Madan Kulang - The Most Difficult Trek in Maharashtra""/><meta property=""og:description"" content=""With Trail "
Ambaji Durga Trek,Uttarakhand,in,10-11 hr,190 km,"6,560 ft",to do the trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Ambaji Durga Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Ambaji Durga Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/943f51e2-8708-4471-91ec-e190659f108f_Ambaji+Durga+Trek+-+Banner+Image+-+Indiahikes.jpg?auto=compress,format""/><meta property=""og:image:width"" "
Amedikallu Peak,Uttarakhand,level,10-11 hr,190 km,"6,560 ft",and difficulty,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Amedikallu Peak</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Amedikallu Peak""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/f23eb548-1b86-49a7-9ddc-1f3fa2606932_Amedikallu+Peak+-+Banner+Image+-+Indiahikes+-+Suzay+Hathwar.jpg?auto=compress,format""/><meta property=""og:ima"
Andharban Trek,Uttarakhand,Easy,10-11 hr,190 km,"2,160 ft",to visit would be the monsoon,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Andharban Trek</title><meta name=""description"" content=""pictures and trail information required to do Andharban trek. This is the only guide you will ever need to plan andharban trek.""/><meta property=""og:title"" content=""Andharban Trek""/><meta property=""og:description"" content=""pictures and trail information required to do Andharban trek. This is the only guide you will ever need to plan "
Anjaneri Fort Trek,Uttarakhand,level,10-11 hr,1.2 km,"6,560 ft",to do the trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Anjaneri Fort Trek</title><meta name=""description"" content=""Anjaneri Fort Trek is the famous trek in Nasik-Triambak. A detailed documentation guide to trek on your own with informatiove photos, tips and GPX File.""/><meta property=""og:title"" content=""Anjaneri Fort Trek""/><meta property=""og:description"" content=""Anjaneri Fort Trek is the famous trek in Nasik-Triambak. A detailed documentati"
Arnala Fort Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Arnala Fort Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Arnala Fort Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/ee4f0ab8-6e96-45f7-b46b-f299d239c45d_Arnala+Fort+Trek+-+Banner+Image+-+Indiahikes+-+Indiahikes+Archives.jpg?auto=compress,format""/><meta propert"
Arthur Seat   Chandragad Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Arthur Seat - Chandragad Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Arthur Seat - Chandragad Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/bc1762f3-116a-4426-9eee-7741b123cc38_Arthur+seat+chandragad+trek+-+Banner+Image+-+Indiahikes+-+Indiahikes+Archive.jpg?"
